user_id,prosthesis_type,muscle_group,signal_frequency,signal_duration,signal_amplitude,signal_time
1,arm,Hamstrings,193,4250,3.89,2025-03-13 06:01:09
2,arm,Biceps,489,3702,4.46,2025-03-04 23:12:31
3,hand,Biceps,102,3630,4.49,2025-02-26 19:39:02
1,arm,Gastrocnemius,348,1146,2.87,2025-03-25 02:30:36
2,arm,Hamstrings,169,3707,4.54,2025-03-08 00:25:59
3,leg,Hamstrings,450,2041,1.2,2025-03-13 19:26:56
1,hand,Triceps,169,4708,2.56,2025-03-23 01:48:44
2,leg,Gastrocnemius,88,721,2.18,2025-03-23 18:26:40
3,arm,Hamstrings,351,4162,4.77,2025-03-11 08:35:48
1,leg,Gastrocnemius,242,4173,1.61,2025-03-02 04:08:55
2,arm,Biceps,76,4201,1.35,2025-03-03 07:28:38
3,hand,Hamstrings,181,3492,1.28,2025-03-10 04:27:15
1,arm,Triceps,30,292,1.05,2025-03-09 19:17:01
2,hand,Gastrocnemius,471,4814,2.79,2025-03-12 10:55:35
3,leg,Biceps,346,135,2.29,2025-03-02 05:57:56
1,leg,Biceps,111,3099,0.51,2025-03-01 20:23:48
2,leg,Hamstrings,117,2983,3.16,2025-02-27 16:03:04
3,leg,Biceps,364,989,0.91,2025-03-06 08:49:08
1,hand,Triceps,165,4963,2.64,2025-02-25 16:35:28
2,leg,Hamstrings,391,3105,2.06,2025-03-22 07:03:57
3,arm,Gastrocnemius,108,3072,0.93,2025-03-19 01:23:24
1,hand,Gastrocnemius,280,825,4.35,2025-03-04 06:26:51
2,hand,Hamstrings,373,4467,0.66,2025-03-07 19:15:15
3,arm,Biceps,259,434,0.86,2025-03-16 17:00:39
1,hand,Quadriceps,431,2883,2.13,2025-03-02 08:44:16
2,arm,Quadriceps,302,4778,3.57,2025-03-01 15:05:18
3,hand,Quadriceps,23,4648,4.98,2025-03-14 23:16:30
1,arm,Biceps,489,718,2.85,2025-03-15 10:52:16
2,leg,Quadriceps,273,238,3.77,2025-03-23 19:35:45
3,hand,Biceps,171,158,2.11,2025-03-03 15:23:39
